,date,store_nbr,transactions
1,2013-01-02,1,2111
47,2013-01-03,1,1833
93,2013-01-04,1,1863
139,2013-01-05,1,1509
185,2013-01-06,1,520
231,2013-01-07,1,1807
277,2013-01-08,1,1869
323,2013-01-09,1,1910
369,2013-01-10,1,1679
415,2013-01-11,1,1813
461,2013-01-12,1,1473
507,2013-01-13,1,542
553,2013-01-14,1,1780
599,2013-01-15,1,1680
645,2013-01-16,1,1933
691,2013-01-17,1,1786
737,2013-01-18,1,1745
783,2013-01-19,1,1389
829,2013-01-20,1,507
875,2013-01-21,1,1770
921,2013-01-22,1,1762
967,2013-01-23,1,1873
1013,2013-01-24,1,1616
1059,2013-01-25,1,1770
1105,2013-01-26,1,1295
1151,2013-01-27,1,542
1197,2013-01-28,1,1738
1243,2013-01-29,1,1772
1289,2013-01-30,1,1877
1335,2013-01-31,1,1707
1381,2013-02-01,1,1806
1427,2013-02-02,1,1377
1473,2013-02-03,1,531
1519,2013-02-04,1,1714
1565,2013-02-05,1,1775
1611,2013-02-06,1,1853
1657,2013-02-07,1,1727
1703,2013-02-08,1,1878
1749,2013-02-09,1,1104
1795,2013-02-10,1,374
1841,2013-02-11,1,396
1887,2013-02-12,1,487
1933,2013-02-13,1,1921
1979,2013-02-14,1,2119
2025,2013-02-15,1,1787
2071,2013-02-16,1,1263
2117,2013-02-17,1,399
2163,2013-02-18,1,1742
2209,2013-02-19,1,1806
2255,2013-02-20,1,1835
2301,2013-02-21,1,1756
2347,2013-02-22,1,1805
2393,2013-02-23,1,1448
2439,2013-02-24,1,512
2485,2013-02-25,1,1760
2531,2013-02-26,1,1804
2577,2013-02-27,1,1845
2623,2013-02-28,1,1763
2669,2013-03-01,1,1916
2715,2013-03-02,1,1332
2761,2013-03-03,1,547
2807,2013-03-04,1,1841
2853,2013-03-05,1,1750
2899,2013-03-06,1,1929
2945,2013-03-07,1,1751
2991,2013-03-08,1,1960
3037,2013-03-09,1,1337
3083,2013-03-10,1,538
3129,2013-03-11,1,1874
3175,2013-03-12,1,1734
3221,2013-03-13,1,1841
3267,2013-03-14,1,1751
3313,2013-03-15,1,1812
3359,2013-03-16,1,1238
3405,2013-03-17,1,561
3451,2013-03-18,1,1696
3497,2013-03-19,1,1728
3543,2013-03-20,1,1879
3589,2013-03-21,1,1727
3635,2013-03-22,1,1689
3681,2013-03-23,1,1358
3727,2013-03-24,1,531
3773,2013-03-25,1,1770
3819,2013-03-26,1,1700
3865,2013-03-27,1,1840
3911,2013-03-28,1,1729
3957,2013-03-29,1,474
4003,2013-03-30,1,1002
4049,2013-03-31,1,464
4095,2013-04-01,1,1894
4141,2013-04-02,1,1705
4187,2013-04-03,1,1912
4233,2013-04-04,1,1723
4279,2013-04-05,1,1899
4325,2013-04-06,1,1349
4371,2013-04-07,1,521
4417,2013-04-08,1,1824
4463,2013-04-09,1,1744
4509,2013-04-10,1,1916
4555,2013-04-11,1,1638
4601,2013-04-12,1,1860
4647,2013-04-13,1,1338
4693,2013-04-14,1,525
4739,2013-04-15,1,1804
4785,2013-04-16,1,1757
4831,2013-04-17,1,1807
4877,2013-04-18,1,1607
4923,2013-04-19,1,1737
4969,2013-04-20,1,1335
5015,2013-04-21,1,505
5061,2013-04-22,1,1838
5107,2013-04-23,1,1697
5153,2013-04-24,1,1921
5199,2013-04-25,1,1660
5245,2013-04-26,1,1843
5291,2013-04-27,1,1314
5337,2013-04-28,1,517
5383,2013-04-29,1,1653
5429,2013-04-30,1,1897
5475,2013-05-01,1,613
5521,2013-05-02,1,1763
5567,2013-05-03,1,1847
5613,2013-05-04,1,1347
5659,2013-05-05,1,538
5705,2013-05-06,1,1834
5751,2013-05-07,1,1792
5797,2013-05-08,1,1904
5843,2013-05-09,1,1813
5890,2013-05-10,1,1959
5937,2013-05-11,1,1488
5984,2013-05-12,1,549
6031,2013-05-13,1,1784
6078,2013-05-14,1,1747
6125,2013-05-15,1,1887
6172,2013-05-16,1,1781
6219,2013-05-17,1,1883
6266,2013-05-18,1,1299
6313,2013-05-19,1,497
6360,2013-05-20,1,1732
6407,2013-05-21,1,1692
6454,2013-05-22,1,1865
6501,2013-05-23,1,1753
6548,2013-05-24,1,496
6595,2013-05-25,1,1107
6642,2013-05-26,1,411
6689,2013-05-27,1,1748
6736,2013-05-28,1,1787
6783,2013-05-29,1,1815
6830,2013-05-30,1,1737
6877,2013-05-31,1,1818
6924,2013-06-01,1,1357
6971,2013-06-02,1,430
7018,2013-06-03,1,1882
7065,2013-06-04,1,1785
7112,2013-06-05,1,1845
7159,2013-06-06,1,1815
7206,2013-06-07,1,1885
7253,2013-06-08,1,1279
7300,2013-06-09,1,510
7347,2013-06-10,1,1826
7394,2013-06-11,1,1855
7441,2013-06-12,1,1863
7488,2013-06-13,1,1711
7535,2013-06-14,1,1856
7582,2013-06-15,1,1356
7629,2013-06-16,1,541
7676,2013-06-17,1,1786
7723,2013-06-18,1,1775
7770,2013-06-19,1,1783
7813,2013-06-20,1,1629
7860,2013-06-21,1,1700
7907,2013-06-22,1,1295
7954,2013-06-23,1,493
8001,2013-06-24,1,1820
8048,2013-06-25,1,1718
8095,2013-06-26,1,1856
8142,2013-06-27,1,1671
8189,2013-06-28,1,1808
8236,2013-06-29,1,1264
8283,2013-06-30,1,482
8330,2013-07-01,1,1797
8377,2013-07-02,1,1778
8424,2013-07-03,1,1899
8471,2013-07-04,1,1792
8518,2013-07-05,1,1804
8565,2013-07-06,1,1186
8612,2013-07-07,1,485
8659,2013-07-08,1,1826
8705,2013-07-09,1,1804
8751,2013-07-10,1,1761
8797,2013-07-11,1,1668
8843,2013-07-12,1,1749
8889,2013-07-13,1,1219
8935,2013-07-14,1,434
8981,2013-07-15,1,1781
9027,2013-07-16,1,1904
9073,2013-07-17,1,1846
9119,2013-07-18,1,1700
9165,2013-07-19,1,1752
9211,2013-07-20,1,1336
9257,2013-07-21,1,448
9303,2013-07-22,1,1753
9349,2013-07-23,1,1794
9395,2013-07-24,1,1796
9441,2013-07-25,1,1697
9487,2013-07-26,1,1808
9533,2013-07-27,1,1247
9579,2013-07-28,1,439
9625,2013-07-29,1,1802
9671,2013-07-30,1,1741
9717,2013-07-31,1,1828
9764,2013-08-01,1,1767
9811,2013-08-02,1,1748
9858,2013-08-03,1,1290
9905,2013-08-04,1,453
9952,2013-08-05,1,1763
9999,2013-08-06,1,1717
10046,2013-08-07,1,1800
10093,2013-08-08,1,1650
10140,2013-08-09,1,1785
10187,2013-08-10,1,832
10234,2013-08-11,1,441
10281,2013-08-12,1,1728
10328,2013-08-13,1,1685
10375,2013-08-14,1,1836
10422,2013-08-15,1,1656
10469,2013-08-16,1,1817
10516,2013-08-17,1,1203
10563,2013-08-18,1,427
10610,2013-08-19,1,1714
10657,2013-08-20,1,1670
10704,2013-08-21,1,1826
10751,2013-08-22,1,1599
10798,2013-08-23,1,1777
10845,2013-08-24,1,1166
10892,2013-08-25,1,457
10939,2013-08-26,1,1722
10986,2013-08-27,1,1677
11033,2013-08-28,1,1831
11080,2013-08-29,1,1647
11127,2013-08-30,1,1808
11174,2013-08-31,1,1297
11221,2013-09-01,1,512
11268,2013-09-02,1,1774
11315,2013-09-03,1,1762
11362,2013-09-04,1,1867
11409,2013-09-05,1,1719
11456,2013-09-06,1,1839
11503,2013-09-07,1,1245
11550,2013-09-08,1,456
11597,2013-09-09,1,1781
11644,2013-09-10,1,1678
11691,2013-09-11,1,1828
11738,2013-09-12,1,1776
11785,2013-09-13,1,1759
11832,2013-09-14,1,1259
11879,2013-09-15,1,500
11926,2013-09-16,1,1778
11973,2013-09-17,1,1716
12020,2013-09-18,1,1882
12067,2013-09-19,1,1685
12114,2013-09-20,1,1701
12161,2013-09-21,1,1304
12208,2013-09-22,1,479
12255,2013-09-23,1,1707
12302,2013-09-24,1,1780
12349,2013-09-25,1,1829
12396,2013-09-26,1,1681
12443,2013-09-27,1,1772
12490,2013-09-28,1,1286
12537,2013-09-29,1,503
12584,2013-09-30,1,1682
12631,2013-10-01,1,1744
12678,2013-10-02,1,1917
12725,2013-10-03,1,1720
12772,2013-10-04,1,1839
12819,2013-10-05,1,1324
12866,2013-10-06,1,504
12913,2013-10-07,1,1759
12960,2013-10-08,1,1721
13007,2013-10-09,1,1788
13054,2013-10-10,1,1692
13101,2013-10-11,1,733
13148,2013-10-12,1,949
13195,2013-10-13,1,464
13242,2013-10-14,1,1654
13289,2013-10-15,1,1761
13336,2013-10-16,1,1703
13383,2013-10-17,1,1783
13430,2013-10-18,1,1734
13477,2013-10-19,1,1346
13524,2013-10-20,1,500
13571,2013-10-21,1,1830
13618,2013-10-22,1,1687
13665,2013-10-23,1,1820
13712,2013-10-24,1,1748
13759,2013-10-25,1,1805
13806,2013-10-26,1,1282
13853,2013-10-27,1,549
13900,2013-10-28,1,1788
13947,2013-10-29,1,1710
13994,2013-10-30,1,1815
14041,2013-10-31,1,1755
14088,2013-11-01,1,1878
14135,2013-11-02,1,1106
14182,2013-11-03,1,515
14229,2013-11-04,1,1838
14276,2013-11-05,1,1848
14323,2013-11-06,1,1797
14370,2013-11-07,1,1724
14417,2013-11-08,1,1859
14464,2013-11-09,1,1184
14511,2013-11-10,1,561
14558,2013-11-11,1,1862
14605,2013-11-12,1,1814
14652,2013-11-13,1,1924
14699,2013-11-14,1,1832
14746,2013-11-15,1,1850
14793,2013-11-16,1,1346
14840,2013-11-17,1,512
14887,2013-11-18,1,1881
14934,2013-11-19,1,1784
14981,2013-11-20,1,1947
15028,2013-11-21,1,1753
15075,2013-11-22,1,1799
15122,2013-11-23,1,1229
15169,2013-11-24,1,453
15216,2013-11-25,1,1861
15263,2013-11-26,1,1834
15310,2013-11-27,1,1911
15357,2013-11-28,1,1828
15404,2013-11-29,1,1781
15451,2013-11-30,1,1272
15498,2013-12-01,1,485
15545,2013-12-02,1,1844
15592,2013-12-03,1,1812
15639,2013-12-04,1,1995
15686,2013-12-05,1,1930
15733,2013-12-06,1,506
15780,2013-12-07,1,1140
15827,2013-12-08,1,443
15874,2013-12-09,1,1812
15921,2013-12-10,1,1992
15968,2013-12-11,1,2087
16015,2013-12-12,1,1945
16062,2013-12-13,1,2033
16109,2013-12-14,1,1507
16156,2013-12-15,1,526
16203,2013-12-16,1,2161
16250,2013-12-17,1,2136
16297,2013-12-18,1,2337
16344,2013-12-19,1,2425
16391,2013-12-20,1,2490
16438,2013-12-21,1,1738
16485,2013-12-22,1,1093
16532,2013-12-23,1,2848
16579,2013-12-24,1,2844
16626,2013-12-26,1,1980
16673,2013-12-27,1,2022
16720,2013-12-28,1,1070
16767,2013-12-29,1,416
16814,2013-12-30,1,1388
16861,2013-12-31,1,1105
16910,2014-01-02,1,1875
16956,2014-01-03,1,1817
17003,2014-01-04,1,1294
17050,2014-01-05,1,489
17097,2014-01-06,1,1754
17144,2014-01-07,1,1713
17191,2014-01-08,1,1955
17238,2014-01-09,1,1855
17285,2014-01-10,1,1837
17332,2014-01-11,1,1300
17379,2014-01-12,1,531
17426,2014-01-13,1,1887
17473,2014-01-14,1,1738
17520,2014-01-15,1,1944
17567,2014-01-16,1,1819
17614,2014-01-17,1,1889
17661,2014-01-18,1,1329
17708,2014-01-19,1,504
17755,2014-01-20,1,1791
17802,2014-01-21,1,1872
17849,2014-01-22,1,1818
17896,2014-01-23,1,1744
17943,2014-01-24,1,1858
17990,2014-01-25,1,1234
18037,2014-01-26,1,537
18084,2014-01-27,1,1765
18131,2014-01-28,1,1746
18178,2014-01-29,1,1903
18225,2014-01-30,1,1747
18272,2014-01-31,1,1872
18319,2014-02-01,1,1344
18366,2014-02-02,1,502
18413,2014-02-03,1,1898
18460,2014-02-04,1,1781
18507,2014-02-05,1,1909
18554,2014-02-06,1,1749
18601,2014-02-07,1,1812
18648,2014-02-08,1,1335
18695,2014-02-09,1,484
18742,2014-02-10,1,1763
18789,2014-02-11,1,1768
18836,2014-02-12,1,1910
18883,2014-02-13,1,1910
18930,2014-02-14,1,2130
18977,2014-02-15,1,1333
19024,2014-02-16,1,482
19071,2014-02-17,1,1807
19118,2014-02-18,1,1742
19165,2014-02-19,1,1918
19212,2014-02-20,1,1738
19259,2014-02-21,1,1701
19306,2014-02-22,1,1238
19353,2014-02-23,1,463
19400,2014-02-24,1,1814
19447,2014-02-25,1,1849
19494,2014-02-26,1,1863
19541,2014-02-27,1,1696
19588,2014-02-28,1,1880
19635,2014-03-01,1,1111
19682,2014-03-02,1,346
19729,2014-03-03,1,400
19776,2014-03-04,1,489
19823,2014-03-05,1,1905
19870,2014-03-06,1,1825
19917,2014-03-07,1,1827
19964,2014-03-08,1,1510
20011,2014-03-09,1,535
20058,2014-03-10,1,1756
20105,2014-03-11,1,1841
20152,2014-03-12,1,1886
20199,2014-03-13,1,1752
20246,2014-03-14,1,1814
20293,2014-03-15,1,1317
20340,2014-03-16,1,553
20387,2014-03-17,1,1837
20434,2014-03-18,1,1759
20481,2014-03-19,1,1896
20528,2014-03-20,1,1628
20575,2014-03-21,1,1903
20622,2014-03-22,1,1327
20669,2014-03-23,1,523
20716,2014-03-24,1,1704
20762,2014-03-25,1,1863
20809,2014-03-26,1,1818
20856,2014-03-27,1,1683
20903,2014-03-28,1,1862
20950,2014-03-29,1,1274
20997,2014-03-30,1,505
21044,2014-03-31,1,1862
21091,2014-04-01,1,1847
21138,2014-04-02,1,1899
21185,2014-04-03,1,1789
21232,2014-04-04,1,1875
21279,2014-04-05,1,1393
21326,2014-04-06,1,529
21373,2014-04-07,1,1936
21420,2014-04-08,1,1743
21467,2014-04-09,1,1940
21514,2014-04-10,1,1770
21561,2014-04-11,1,1866
21608,2014-04-12,1,1340
21655,2014-04-13,1,463
21702,2014-04-14,1,1880
21748,2014-04-15,1,1794
21794,2014-04-16,1,1915
21840,2014-04-17,1,1784
21886,2014-04-18,1,507
21932,2014-04-19,1,1038
21978,2014-04-20,1,414
22024,2014-04-21,1,1776
22070,2014-04-22,1,1688
22116,2014-04-23,1,1935
22162,2014-04-24,1,1787
22208,2014-04-25,1,1860
22254,2014-04-26,1,1234
22300,2014-04-27,1,505
22346,2014-04-28,1,1782
22392,2014-04-29,1,1756
22438,2014-04-30,1,1990
22484,2014-05-01,1,503
22530,2014-05-02,1,1805
22576,2014-05-03,1,1326
22622,2014-05-04,1,473
22668,2014-05-05,1,1460
22714,2014-05-06,1,1849
22760,2014-05-07,1,1912
22806,2014-05-08,1,1727
22852,2014-05-09,1,1998
22898,2014-05-10,1,1440
22944,2014-05-11,1,595
22990,2014-05-12,1,1768
23036,2014-05-13,1,1874
23082,2014-05-14,1,1861
23128,2014-05-15,1,1794
23174,2014-05-16,1,1797
23220,2014-05-17,1,1291
23266,2014-05-18,1,470
23312,2014-05-19,1,1894
23358,2014-05-20,1,1840
23404,2014-05-21,1,1932
23450,2014-05-22,1,1701
23496,2014-05-23,1,1726
23542,2014-05-24,1,1250
23588,2014-05-25,1,499
23634,2014-05-26,1,1807
23680,2014-05-27,1,1741
23726,2014-05-28,1,1903
23772,2014-05-29,1,1752
23819,2014-05-30,1,1917
23866,2014-05-31,1,1320
23913,2014-06-01,1,512
23960,2014-06-02,1,1918
24007,2014-06-03,1,1940
24054,2014-06-04,1,1930
24101,2014-06-05,1,1725
24148,2014-06-06,1,1892
24195,2014-06-07,1,1325
24242,2014-06-08,1,432
24289,2014-06-09,1,1786
24336,2014-06-10,1,1705
24383,2014-06-11,1,1872
24430,2014-06-12,1,1734
24477,2014-06-13,1,1918
24524,2014-06-14,1,1447
24571,2014-06-15,1,462
24618,2014-06-16,1,1801
24665,2014-06-17,1,1747
24712,2014-06-18,1,1798
24759,2014-06-19,1,1713
24806,2014-06-20,1,1880
24853,2014-06-21,1,1269
24900,2014-06-22,1,493
24947,2014-06-23,1,1823
24994,2014-06-24,1,1734
25041,2014-06-25,1,1747
25088,2014-06-26,1,1707
25135,2014-06-27,1,1866
25182,2014-06-28,1,1300
25229,2014-06-29,1,446
25276,2014-06-30,1,1758
25323,2014-07-01,1,1749
25370,2014-07-02,1,1962
25417,2014-07-03,1,1775
25464,2014-07-04,1,1918
25511,2014-07-05,1,1128
25558,2014-07-06,1,499
25605,2014-07-07,1,1791
25652,2014-07-08,1,1812
25699,2014-07-09,1,1821
25746,2014-07-10,1,1665
25793,2014-07-11,1,1802
25840,2014-07-12,1,1211
25887,2014-07-13,1,538
25934,2014-07-14,1,1880
25981,2014-07-15,1,1812
26028,2014-07-16,1,1817
26075,2014-07-17,1,1690
26122,2014-07-18,1,1781
26169,2014-07-19,1,1233
26216,2014-07-20,1,457
26263,2014-07-21,1,1808
26310,2014-07-22,1,1761
26357,2014-07-23,1,1868
26404,2014-07-24,1,1679
26452,2014-07-25,1,1835
26500,2014-07-26,1,1236
26548,2014-07-27,1,494
26596,2014-07-28,1,1902
26644,2014-07-29,1,1751
26692,2014-07-30,1,1845
26740,2014-07-31,1,1733
26788,2014-08-01,1,1930
26836,2014-08-02,1,1207
26884,2014-08-03,1,459
26932,2014-08-04,1,1892
26979,2014-08-05,1,1782
27026,2014-08-06,1,1791
27073,2014-08-07,1,1657
27120,2014-08-08,1,1835
27167,2014-08-09,1,1216
27214,2014-08-10,1,477
27261,2014-08-11,1,1824
27308,2014-08-12,1,1701
27355,2014-08-13,1,1868
27402,2014-08-14,1,1720
27449,2014-08-15,1,1833
27496,2014-08-16,1,1257
27543,2014-08-17,1,459
27590,2014-08-18,1,1805
27637,2014-08-19,1,1670
27684,2014-08-20,1,1788
27731,2014-08-21,1,1685
27778,2014-08-22,1,1766
27825,2014-08-23,1,1214
27872,2014-08-24,1,494
27919,2014-08-25,1,1789
27966,2014-08-26,1,1745
28013,2014-08-27,1,1846
28060,2014-08-28,1,1607
28107,2014-08-29,1,1852
28154,2014-08-30,1,1385
28201,2014-08-31,1,512
28248,2014-09-01,1,1829
28295,2014-09-02,1,1792
28342,2014-09-03,1,1892
28389,2014-09-04,1,1721
28436,2014-09-05,1,1779
28483,2014-09-06,1,1315
28530,2014-09-07,1,538
28577,2014-09-08,1,1923
28624,2014-09-09,1,1809
28671,2014-09-10,1,1889
28718,2014-09-11,1,1795
28766,2014-09-12,1,1793
28814,2014-09-13,1,1279
28862,2014-09-14,1,537
28910,2014-09-15,1,1764
28958,2014-09-16,1,1748
29006,2014-09-17,1,1804
29054,2014-09-18,1,1655
29102,2014-09-19,1,1628
29150,2014-09-20,1,1410
29198,2014-09-21,1,478
29246,2014-09-22,1,1726
29294,2014-09-23,1,1723
29342,2014-09-24,1,1895
29390,2014-09-25,1,1680
29438,2014-09-26,1,1715
29486,2014-09-27,1,1250
29534,2014-09-28,1,528
29582,2014-09-29,1,1808
29630,2014-09-30,1,1711
29678,2014-10-01,1,1934
29726,2014-10-02,1,1752
29774,2014-10-03,1,1935
29822,2014-10-04,1,1380
29870,2014-10-05,1,527
29918,2014-10-06,1,1736
29966,2014-10-07,1,1761
30014,2014-10-08,1,1768
30062,2014-10-09,1,1777
30110,2014-10-10,1,603
30158,2014-10-11,1,1106
30206,2014-10-12,1,465
30254,2014-10-13,1,1801
30302,2014-10-14,1,1807
30350,2014-10-15,1,1872
30398,2014-10-16,1,1725
30446,2014-10-17,1,1741
30494,2014-10-18,1,1342
30542,2014-10-19,1,549
30590,2014-10-20,1,1785
30638,2014-10-21,1,1659
30686,2014-10-22,1,1742
30734,2014-10-23,1,1684
30782,2014-10-24,1,1708
30830,2014-10-25,1,1268
30878,2014-10-26,1,523
30926,2014-10-27,1,1646
30974,2014-10-28,1,1643
31022,2014-10-29,1,1857
31070,2014-10-30,1,1704
31118,2014-10-31,1,1735
31166,2014-11-01,1,1103
31214,2014-11-02,1,407
31262,2014-11-03,1,487
31310,2014-11-04,1,1670
31358,2014-11-05,1,1880
31406,2014-11-06,1,1731
31454,2014-11-07,1,1846
31502,2014-11-08,1,1307
31550,2014-11-09,1,505
31598,2014-11-10,1,1713
31646,2014-11-11,1,1703
31694,2014-11-12,1,1882
31742,2014-11-13,1,1692
31790,2014-11-14,1,1805
31838,2014-11-15,1,1329
31886,2014-11-16,1,535
31934,2014-11-17,1,1776
31982,2014-11-18,1,1729
32030,2014-11-19,1,1805
32078,2014-11-20,1,1770
32126,2014-11-21,1,1762
32174,2014-11-22,1,1289
32222,2014-11-23,1,566
32270,2014-11-24,1,1726
32318,2014-11-25,1,1789
32366,2014-11-26,1,1853
32414,2014-11-27,1,1713
32462,2014-11-28,1,1820
32510,2014-11-29,1,1304
32558,2014-11-30,1,540
32606,2014-12-01,1,1953
32654,2014-12-02,1,1819
32702,2014-12-03,1,1965
32750,2014-12-04,1,1875
32798,2014-12-05,1,2028
32846,2014-12-06,1,1065
32894,2014-12-07,1,486
32942,2014-12-08,1,2006
32990,2014-12-09,1,1896
33038,2014-12-10,1,1972
33086,2014-12-11,1,1932
33134,2014-12-12,1,1951
33182,2014-12-13,1,1427
33230,2014-12-14,1,593
33278,2014-12-15,1,2008
33326,2014-12-16,1,2026
33374,2014-12-17,1,2347
33422,2014-12-18,1,2201
33470,2014-12-19,1,2310
33518,2014-12-20,1,1882
33566,2014-12-21,1,990
33614,2014-12-22,1,2594
33662,2014-12-23,1,2861
33710,2014-12-24,1,2800
33758,2014-12-26,1,1295
33806,2014-12-27,1,1031
33854,2014-12-28,1,398
33902,2014-12-29,1,1789
33950,2014-12-30,1,2008
33998,2014-12-31,1,2024
34047,2015-01-02,1,1021
34095,2015-01-03,1,1015
34143,2015-01-04,1,484
34191,2015-01-05,1,1956
34239,2015-01-06,1,1890
34287,2015-01-07,1,1989
34335,2015-01-08,1,1837
34383,2015-01-09,1,1925
34431,2015-01-10,1,1534
34479,2015-01-11,1,507
34527,2015-01-12,1,1929
34575,2015-01-13,1,1877
34623,2015-01-14,1,1936
34671,2015-01-15,1,1796
34719,2015-01-16,1,1713
34767,2015-01-17,1,1473
34815,2015-01-18,1,517
34863,2015-01-19,1,1955
34911,2015-01-20,1,1885
34959,2015-01-21,1,1955
35007,2015-01-22,1,1737
35055,2015-01-23,1,1885
35103,2015-01-24,1,1400
35151,2015-01-25,1,516
35199,2015-01-26,1,1864
35247,2015-01-27,1,1738
35295,2015-01-28,1,1901
35343,2015-01-29,1,1781
35391,2015-01-30,1,1888
35439,2015-01-31,1,1398
35487,2015-02-01,1,502
35535,2015-02-02,1,1831
35583,2015-02-03,1,1844
35631,2015-02-04,1,1894
35679,2015-02-05,1,1774
35727,2015-02-06,1,1865
35775,2015-02-07,1,1408
35823,2015-02-08,1,490
35871,2015-02-09,1,1792
35919,2015-02-10,1,1790
35967,2015-02-11,1,1914
36015,2015-02-12,1,1816
36063,2015-02-13,1,2099
36112,2015-02-14,1,1235
36161,2015-02-15,1,378
36210,2015-02-16,1,449
36259,2015-02-17,1,486
36308,2015-02-18,1,1942
36357,2015-02-19,1,1554
36406,2015-02-20,1,1866
36455,2015-02-21,1,1530
36504,2015-02-22,1,524
36553,2015-02-23,1,1763
36602,2015-02-24,1,1756
36651,2015-02-25,1,1923
36700,2015-02-26,1,1746
36749,2015-02-27,1,1877
36798,2015-02-28,1,1425
36847,2015-03-01,1,522
36896,2015-03-02,1,1823
36945,2015-03-03,1,1791
36994,2015-03-04,1,1918
37043,2015-03-05,1,1734
37092,2015-03-06,1,1865
37141,2015-03-07,1,1468
37190,2015-03-08,1,506
37239,2015-03-09,1,1883
37288,2015-03-10,1,1829
37337,2015-03-11,1,1893
37386,2015-03-12,1,1758
37435,2015-03-13,1,1869
37484,2015-03-14,1,1377
37533,2015-03-15,1,502
37582,2015-03-16,1,1833
37631,2015-03-17,1,1713
37680,2015-03-18,1,1780
37729,2015-03-19,1,1700
37778,2015-03-20,1,1821
37828,2015-03-21,1,1361
37878,2015-03-22,1,534
37928,2015-03-23,1,1805
37978,2015-03-24,1,1726
38028,2015-03-25,1,1890
38078,2015-03-26,1,1607
38128,2015-03-27,1,1895
38178,2015-03-28,1,1279
38228,2015-03-29,1,458
38278,2015-03-30,1,1753
38327,2015-03-31,1,1901
38376,2015-04-01,1,1988
38425,2015-04-02,1,1816
38474,2015-04-03,1,492
38523,2015-04-04,1,1151
38572,2015-04-05,1,461
38621,2015-04-06,1,1815
38670,2015-04-07,1,1862
38719,2015-04-08,1,1839
38768,2015-04-09,1,1766
38817,2015-04-10,1,1897
38866,2015-04-11,1,1386
38915,2015-04-12,1,493
38964,2015-04-13,1,1846
39013,2015-04-14,1,1680
39062,2015-04-15,1,1862
39111,2015-04-16,1,1785
39160,2015-04-17,1,1727
39209,2015-04-18,1,1414
39258,2015-04-19,1,524
39307,2015-04-20,1,1887
39356,2015-04-21,1,1780
39405,2015-04-22,1,1894
39454,2015-04-23,1,1798
39503,2015-04-24,1,1904
39552,2015-04-25,1,1344
39601,2015-04-26,1,513
39650,2015-04-27,1,1822
